Status,Date,Time,Session Type,Teacher Name,School Name,School Level,District,Session Title,volunteer,Organization,volunteer Location,Topic/Theme,Session Link
successfully completed,7/13/2023,2:00 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Animal Care,Kevin Camacho,,Not local,Animal Science,https://prepkc.nepris.com/app/sessions/103661
simulcast,7/13/2023,,,Ashley Juarez,Ingels Elementary,Elementary,Hickman Mills,Animal Care,,,Not local,,
successfully completed,7/14/2023,8:35 AM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Nurse,Amy Franklin,,Local (KS/MO),Healthcare,https://prepkc.nepris.com/app/sessions/103657
simulcast,7/14/2023,,,Jared Williams,Ingels Elementary,Elementary,Hickman Mills,Nurse,,,Local (KS/MO),,
successfully completed,7/14/2023,2:00 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Zoologist,Jermaine Ayala,,Local (KS/MO),Animal Science,https://prepkc.nepris.com/app/sessions/103664
simulcast,7/14/2023,,,Mark Jones,Ingels Elementary,Elementary,Hickman Mills,Zoologist,,,Local (KS/MO),,
simulcast,7/14/2023,,,Ashley Juarez,Ingels Elementary,Elementary,Hickman Mills,Zoologist,,,Local (KS/MO),,
successfully completed,7/27/2023,10:30 AM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Legal Assistant,Cheryl Brooks,Lathrop GPM LLP,Local (KS/MO),Law,https://connector.nepris.com/app/sessions/103656
simulcast,7/27/2023,,,Mariah Hester,Ingels Elementary,Elementary,Hickman Mills,Legal Assistant,,,Local (KS/MO),,
successfully completed,7/27/2023,1:50 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,What can students expect from attending an HBCU?,Lisa Ho,,Not local,College,https://prepkc.nepris.com/app/sessions/103673
simulcast,7/27/2023,,,Anthony Lambert,Ingels Elementary,Elementary,Hickman Mills,What can students expect from attending an HBCU?,,,Not local,,
simulcast,7/27/2023,,,Daniel Taylor,Ingels Elementary,Elementary,Hickman Mills,What can students expect from attending an HBCU?,,,Not local,,
successfully completed,7/31/2023,2:20 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,What's it like to be an architect?,Brandon Jensen,incite Design Studio,Local (KS/MO),Architecture,https://prepkc.nepris.com/app/sessions/103672
successfully completed,7/31/2023,1:50 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Kitchen Careers,Melissa Wright,Silerado,Local (KS/MO),Culinary,https://prepkc.nepris.com/app/sessions/103670
simulcast,7/31/2023,,,Michael Jackson,Ingels Elementary,Elementary,Hickman Mills,Kitchen Careers,,,Local (KS/MO),,
simulcast,7/31/2023,,,Kelly Watts,Ingels Elementary,Elementary,Hickman Mills,Kitchen Careers,,,Local (KS/MO),,
simulcast,7/31/2023,,,Ashley Juarez,Ingels Elementary,Elementary,Hickman Mills,Kitchen Careers,,,Local (KS/MO),,
,8/24/2023,,Other,Debra Williams,,,,Connector Tutorial for Teachers 2023-2024,Lisa Williams,PREP-KC,Local (KS/MO),Professional Development,https://prepkc.nepris.com/app/industry-chats/103912
,8/24/2023,,Other,Debra Williams,,,,Connector Tutorial: Writing Your Own Session Request 2023-2024,Lisa Williams,PREP-KC,Local (KS/MO),Professional Development,https://prepkc.nepris.com/app/industry-chats/103917
,9/6/2023,10:00-10:30am,Other,Debra Williams,,,,Connector Volunteers: Preparing for your session,Catherine Bailey,PREP-KC,Local (KS/MO),Professional Development,https://prepkc.nepris.com/app/sessions/103879
successfully completed,9/7/2023,2:05 PM,Industry chat,Debra Williams,,,,My Career as a Marine Biologist,Emily Campbell,,Not local,Animal Science,https://prepkc.nepris.com/app/sessions/103691
simulcast,9/7/2023,,,Christopher Allen,Ruskin High School,High,Hickman Mills,My Career as a Marine Biologist,,,Not local,,
successfully completed,9/12/2023,2:00-2:20pm,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Ingels Elementary: What it takes to be a game designer,Tammy Dunn,Skillsgapp,Local (KS/MO),Game Design,https://prepkc.nepris.com/app/sessions/103754
simulcast,9/12/2023,,,Kimberly Anderson,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What it takes to be a game designer,,,Local (KS/MO),,
simulcast,9/12/2023,,,Brandy Nolan,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What it takes to be a game designer,,,Local (KS/MO),,
successfully completed,9/12/2023,,Industry chat,Debra Williams,,High,,Going from High School to College,Christina Crane,,Not local,College,https://prepkc.nepris.com/app/industry-chats/103677
simulcast,9/12/2023,,,Christopher Allen,Ruskin High School,High,Hickman Mills,Going from High School to College,,,Not local,,
successfully completed,9/12/2023,1:30-1:50pm,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Ingels Elementary: Artist,Jason Jones,Jazzy K Productions,Local (KS/MO),Art/Design,https://prepkc.nepris.com/app/sessions/103753
simulcast,9/12/2023,,,Kelly Watts,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Artist,,,Local (KS/MO),,
simulcast,9/12/2023,,,Michael Cook,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Artist,,,Local (KS/MO),,
simulcast,9/12/2023,,,Michael Jackson,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Artist,,,Local (KS/MO),,
simulcast,9/12/2023,,,Ashley Juarez,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Artist,,,Local (KS/MO),,
successfully completed,9/13/2023,1:30-1:50pm,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Ingels Elementary: What is Climate Change All About,Wendy Hogan,Jo Co Dept of Health & Environment,Local (KS/MO),Earth Science/Geology,https://prepkc.nepris.com/app/sessions/103768
simulcast,9/13/2023,,,Daniel Taylor,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What is Climate Change All About,,,Local (KS/MO),,
simulcast,9/13/2023,,,Whitney Flores,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What is Climate Change All About,,,Local (KS/MO),,
simulcast,9/13/2023,,,Anthony Lambert,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What is Climate Change All About,,,Local (KS/MO),,
successfully completed,9/14/2023,1:50 PM,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a firefighter?,Jason Brown,Rick Fire Dept,Not local,Emergency Responders,https://prepkc.nepris.com/app/sessions/103757
simulcast,9/14/2023,,,Jared Williams,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a firefighter?,,,Not local,,
simulcast,9/14/2023,,,Carlos Crane,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: What's it like to be a firefighter?,,,Not local,,
successfully completed,9/14/2023,1:30-1:50pm,Teacher requested,Alyssa Phillips,Warford Elementary,Elementary,Hickman Mills,What does a forester do?,Charles English,Bridging the Gap,Local (KS/MO),Earth Science/Geology,https://prepkc.nepris.com/app/sessions/103759
simulcast,9/14/2023,,,Mark Jones,Ingels Elementary,Elementary,Hickman Mills,What does a forester do?,,,Local (KS/MO),,
simulcast,9/14/2023,,,Michael Mcguire,Ingels Elementary,Elementary,Hickman Mills,What does a forester do?,,,Local (KS/MO),,
successfully completed,9/14/2023,1:15-1:45pm,Industry chat,Debra Williams,,High,,College Financial Aid 101,Mrs. Alexandra Garcia DVM,,Not local,College,https://prepkc.nepris.com/app/sessions/103680
simulcast,9/14/2023,,,Matthew Newman,East High School,High,KCPS (MO),College Financial Aid 101,,,Not local,,
successfully completed,9/15/2023,10:45 AM,Teacher requested,Teresa Garcia,,High,,Data in Action: Talking about Data Ethics/Privacy,Elizabeth Wright,Rockhurst,Local (KS/MO),Data Science,https://prepkc.nepris.com/app/sessions/104111
simulcast,9/15/2023,,,Don Singleton,Grandview Middle School,Middle,Grandview,Data in Action: Talking about Data Ethics/Privacy,,,Local (KS/MO),,
simulcast,9/15/2023,,,Kathleen Hernandez,Martin City Elementary,Middle,Grandview,Data in Action: Talking about Data Ethics/Privacy,,,Local (KS/MO),,
successfully completed,9/15/2023,10:00 - 10:20am,Teacher requested,Mariah Hester,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Park Ranger,Tracy White,Marais des Cygnes,Local (KS/MO),Earth Science/Geology,https://prepkc.nepris.com/app/sessions/103760
simulcast,9/15/2023,,,Haley Michael,Ingels Elementary,Elementary,Hickman Mills,Ingels Elementary: Park Ranger,,,Local (KS/MO),,
